id,raw_sentence,processed_sentence
1413,A recently released islamist who had been a close associate of Zawahiri said that Zawahiri spent a decade and had made 15 separate attempts to recruit the necessary expertise to weaponize anthrax in Russia and the Middle East .,recently release islamist close associate zawahiri say zawahiri spend decade make separate attempt recruit necessary expertise weaponize anthrax russia middle east
1414,"The US Army recipe was not used , and obtaining the unprocessed Ames strain of anthrax used does not warrant the weight given it by some press accounts .",us army recipe use obtain unprocessed ames strain anthrax use warrant weight give press account
1415,"There was lax control over the distribution of the Ames strain that was used , especially in light of the fact that transfers were not even required to be recorded prior to 1997 .",lax control distribution ames strain use especially light fact transfer even require record prior
1416,"Significantly , the individual who isolated it nearly a quarter century ago ( now retired ) , upon being contacted , does not even report that he necessarily sent the only copy of the strain to Ft. Detrick .",significantly individual isolate nearly quarter century ago retired upon contact even report necessarily send copy strain ft. detrick
1417,Senator Patrick Leahy at a Congressional hearing in the Spring of 2002 noted that the FBI had collected the Ames strain from 20 sources .,senator patrick leahy congressional hearing spring note fbi collect ames strain source
1418,"In Fall 2004 , MSNBC , relying on an unnamed FBI spokesperson , reports that the FBI has narrowed the pool of labs known to have had Ames that was a match from 16 to 4 but can not rule out that it was made overseas .",fall msnbc rely unnamed fbi spokesperson report fbi narrow pool lab know ames match rule make overseas
1419,Al Qaeda 's anthrax production plans on Khalid Mohammed 's computer did not evidence knowledge of advanced techniques in the most efficient biological weapons .,al qaeda 's anthrax production plan khalid mohammed 's computer evidence knowledge advanced technique efficient biological weapon
1420,"At least according to the public comments by bioweaponeer experts William Patrick and Kenneth Alibek , under the optimal method , there is no electrostatic charge .",least accord public comment bioweaponeer expert william patrick kenneth alibek optimal method electrostatic charge
1421,"In the case of the anthrax used in the mailings , there was an electrostatic charge .",case anthrax use mailing electrostatic charge
1422,"Although there was a dominance of single spores and a trillion spore concentration , there were clumps as large as 40 - 100 microns .",although dominance single spore trillion spore concentration clump large micron
1423,( Spores must be no bigger than 5 microns to be inhalable . ),spore must big micron inhalable
